# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-7453"			
"# Timestamp: Tue, 18-Feb-2020 06:12:59"			
Gene ID	Gene Name	'PLX4720; 1 micromolar' vs 'none' .foldChange	'PLX4720; 1 micromolar' vs 'none'.pValue
ENSG00000010072	SPRTN	-0.9	0.037199167
ENSG00000010165	EEF1AKNMT	-0.8	0.056915775
ENSG00000010219	DYRK4	0.2	0.741480779
ENSG00000010244	ZNF207	-0.2	0.532990916
ENSG00000010256	UQCRC1	0.2	0.809205271
ENSG00000010270	STARD3NL	-1.2	0.003118945
ENSG00000010278	CD9	0.8	0.011878398
ENSG00000010292	NCAPD2	-1.3	7.85E-05
ENSG00000010295	IFFO1	1.7	0.001150981
ENSG00000010310	GIPR	2.1	8.39E-04
ENSG00000010318	PHF7	0.5	0.202328103
ENSG00000010319	SEMA3G	1.7	0.00232588
ENSG00000010322	NISCH	0.8	0.141398825
ENSG00000010361	FUZ	1.3	0.011550997
ENSG00000010379	SLC6A13	2.6	0.043009064
ENSG00000010404	IDS	0.6	0.134264006
ENSG00000010438	PRSS3	1	0.504214629
ENSG00000010539	ZNF200	-0.2	0.693800107
ENSG00000010610	CD4	1.3	0.117441261
ENSG00000010626	LRRC23	1	0.002305048
ENSG00000010803	SCMH1	0.1	0.894610032
ENSG00000010810	FYN	1.2	1.01E-04
ENSG00000010818	HIVEP2	0.2	0.571869066
ENSG00000010932	FMO1	-0.3	0.807225783
ENSG00000011007	ELOA	-0.7	0.028355031
ENSG00000011009	LYPLA2	0.4	0.622036609
ENSG00000011021	CLCN6	0.7	0.176002552
ENSG00000011028	MRC2	2	0.018153423
ENSG00000011105	TSPAN9	1.2	0.064618327
ENSG00000011114	BTBD7	-0.2	0.513905332
ENSG00000011132	APBA3	1.1	0.123603692
ENSG00000011143	MKS1	0.6	0.080070586
ENSG00000011198	ABHD5	-1	0.008097106
ENSG00000011201	ANOS1	1.3	0.140011583
ENSG00000011243	AKAP8L	0.8	0.088406905
ENSG00000011258	MBTD1	0.3	0.435627149
ENSG00000011260	UTP18	-1.9	2.99E-07
ENSG00000011304	PTBP1	-1.3	0.008698843
ENSG00000011332	DPF1	-2.7	3.21E-05
ENSG00000011347	SYT7	-1.3	0.300652322
ENSG00000011376	LARS2	-1	0.005863321
ENSG00000011405	PIK3C2A	0.2	0.772585031
ENSG00000011422	PLAUR	-0.9	0.123233391
ENSG00000011426	ANLN	-3.9	2.26E-26
ENSG00000011451	WIZ	0.4	0.503910087
ENSG00000011454	RABGAP1	0.4	0.184500937
ENSG00000011465	DCN	1.3	0.003987695
ENSG00000011478	QPCTL	0.2	0.800820328
ENSG00000011485	PPP5C	-0.7	0.138014241
ENSG00000011523	CEP68	0.9	0.007179772
ENSG00000011566	MAP4K3	-0.5	0.277040716
ENSG00000011590	ZBTB32	1.5	0.018767389
ENSG00000011638	TMEM159	0.8	0.17676079
ENSG00000011677	GABRA3	1.2	8.16E-05
ENSG00000012048	BRCA1	-3.6	4.24E-26
ENSG00000012061	ERCC1	0.1	0.900509803
ENSG00000012124	CD22	-1	0.119559358
ENSG00000012171	SEMA3B	2	0.008197725
ENSG00000012174	MBTPS2	-0.3	0.571321476
ENSG00000012211	PRICKLE3	1.1	0.184760828
ENSG00000012232	EXTL3	-0.1	0.838395963
ENSG00000012660	ELOVL5	-0.7	0.04377579
ENSG00000012822	CALCOCO1	2.9	3.39E-11
ENSG00000012963	UBR7	-1.3	2.78E-05
ENSG00000012983	MAP4K5	0.2	0.751921755
ENSG00000013016	EHD3	-0.4	0.430589219
ENSG00000013275	PSMC4	-0.7	0.111048914
ENSG00000013288	MAN2B2	1.4	4.06E-04
ENSG00000013293	SLC7A14	2.6	0.042152862
ENSG00000013297	CLDN11	3.4	0.008073002
ENSG00000013306	SLC25A39	0.3	0.789303977
ENSG00000013364	MVP	2.2	0.051149162
ENSG00000013374	NUB1	-0.3	0.418878566
ENSG00000013375	PGM3	-0.5	0.252675417
ENSG00000013392	RWDD2A	1.4	8.40E-04
ENSG00000013441	CLK1	0.2	0.69136844
ENSG00000013503	POLR3B	-1.6	5.94E-07
ENSG00000013523	ANGEL1	0.9	0.023570828
ENSG00000013561	RNF14	-0.6	0.24576642
ENSG00000013563	DNASE1L1	1.2	0.050021643
ENSG00000013573	DDX11	-1.2	0.033304607
ENSG00000013583	HEBP1	0.8	0.02460173
ENSG00000013588	GPRC5A	-3.7	1.74E-27
ENSG00000013619	MAMLD1	-0.4	0.372928879
ENSG00000013810	TACC3	-2.7	9.24E-10
ENSG00000014123	UFL1	-0.6	0.25718119
ENSG00000014138	POLA2	-1.9	7.13E-05
ENSG00000014164	ZC3H3	1.1	0.456275527
ENSG00000014216	CAPN1	1.1	0.166471136
ENSG00000014257	ACPP	0.2	0.888548986
ENSG00000014641	MDH1	-1.1	0.002313406
ENSG00000014824	SLC30A9	-0.3	0.50507732
ENSG00000014914	MTMR11	2.3	1.08E-10
ENSG00000015133	CCDC88C	-0.4	0.468599895
ENSG00000015153	YAF2	-1.2	0.016341345
ENSG00000015171	ZMYND11	-0.3	0.475858883
ENSG00000015285	WAS	1.6	0.203581833
ENSG00000015475	BID	-1.1	2.55E-04
ENSG00000015479	MATR3	-0.2	0.75057668
ENSG00000015520	NPC1L1	1.7	0.182574949
ENSG00000015532	XYLT2	0.4	0.675556399
ENSG00000016082	ISL1	-0.3	0.433645064
ENSG00000016391	CHDH	2.6	0.063540444
ENSG00000016490	CLCA1	-0.5	0.789154513
ENSG00000016864	GLT8D1	0.2	0.595659998
ENSG00000017260	ATP2C1	-0.3	0.446137052
ENSG00000017797	RALBP1	-0.8	0.005264914
ENSG00000018189	RUFY3	0.1	0.86334538
ENSG00000018236	CNTN1	2.8	1.32E-06
ENSG00000018280	SLC11A1	1.6	0.160341897
ENSG00000018408	WWTR1	0.2	0.647749895
ENSG00000018510	AGPS	-0.8	0.051792234
ENSG00000018610	CXorf56	-0.5	0.091941635
ENSG00000018625	ATP1A2	3	0.005529838
ENSG00000018699	TTC27	-1.7	2.20E-07
ENSG00000018869	ZNF582	-0.1	0.925848303
ENSG00000019102	VSIG2	-0.7	0.475023734
ENSG00000019144	PHLDB1	1	0.118671146
ENSG00000019485	PRDM11	1.2	0.012391011
ENSG00000019549	SNAI2	2.9	1.72E-13
ENSG00000019582	CD74	1.7	0.002640305
ENSG00000019991	HGF	1.6	0.237869108
ENSG00000019995	ZRANB1	-0.3	0.527518381
ENSG00000020129	NCDN	0.8	0.269241319
ENSG00000020181	ADGRA2	1.8	0.011438697
ENSG00000020256	ZFP64	0.2	0.709170967
ENSG00000020426	MNAT1	-1.6	2.96E-04
ENSG00000020577	SAMD4A	0.7	0.11745404
ENSG00000020633	RUNX3	-0.7	0.100443719
ENSG00000020922	MRE11	-1.2	9.37E-04
ENSG00000021300	PLEKHB1	1	0.005866796
ENSG00000021355	SERPINB1	1	0.016154448
ENSG00000021461	CYP3A43	1.7	0.235926936
ENSG00000021488	SLC7A9	2.6	0.041916576
ENSG00000021574	SPAST	-0.8	0.083855569
ENSG00000021645	NRXN3	-1.2	0.02514042
ENSG00000021762	OSBPL5	0.3	0.757746005
ENSG00000021776	AQR	-0.5	0.129389674
ENSG00000021826	CPS1	1.4	2.99E-06
ENSG00000022267	FHL1	2.8	1.97E-14
ENSG00000022277	RTF2	0.1	0.848104261
ENSG00000022556	NLRP2	0.6	0.305279977
ENSG00000022567	SLC45A4	0.4	0.329574383
ENSG00000022840	RNF10	-0.2	0.709198023
ENSG00000022976	ZNF839	0.4	0.465892876
ENSG00000023041	ZDHHC6	-0.8	0.034744309
ENSG00000023171	GRAMD1B	-1.4	6.14E-05
ENSG00000023191	RNH1	0.5	0.604008078
ENSG00000023228	NDUFS1	-0.8	0.034423284
ENSG00000023287	RB1CC1	-0.2	0.697755534
ENSG00000023318	ERP44	-0.3	0.5950672
ENSG00000023330	ALAS1	-0.7	0.020313618
ENSG00000023445	BIRC3	-0.4	0.457958124
ENSG00000023516	AKAP11	-0.5	0.314790087
ENSG00000023572	GLRX2	-1.5	1.52E-04
ENSG00000023608	SNAPC1	-2.1	6.87E-06
ENSG00000023697	DERA	-0.4	0.254685388
ENSG00000023734	STRAP	-1.3	0.001172685
ENSG00000023839	ABCC2	-0.1	0.769190828
ENSG00000023892	DEF6	2.1	0.041200172
ENSG00000023902	PLEKHO1	0.5	0.41220687
ENSG00000023909	GCLM	-2.1	1.32E-06
ENSG00000024048	UBR2	0.1	0.904160591
ENSG00000024422	EHD2	-0.2	0.755709759
ENSG00000024526	DEPDC1	-6.9	3.03E-48
ENSG00000024862	CCDC28A	0.8	0.037375999
ENSG00000025039	RRAGD	-0.5	0.274175248
ENSG00000025156	HSF2	-0.9	0.020069405
ENSG00000025293	PHF20	-0.5	0.125355715
ENSG00000025423	HSD17B6	2.1	1.74E-05
ENSG00000025434	NR1H3	1.3	0.027897018
ENSG00000025708	TYMP	1.9	0.024120546
ENSG00000025770	NCAPH2	-1.2	0.094393882
ENSG00000025772	TOMM34	-0.5	0.250726469
ENSG00000025796	SEC63	-0.6	0.134077474
ENSG00000025800	KPNA6	-0.4	0.145759986
ENSG00000026025	VIM	-0.6	0.089124546
ENSG00000026036	RTEL1-TNFRSF6B	1.3	0.187980843
ENSG00000026103	FAS	-1.5	0.003174921
ENSG00000026297	RNASET2	-0.9	0.202810603
ENSG00000026508	CD44	0.9	9.57E-04
ENSG00000026559	KCNG1	-1	0.056144375
ENSG00000026652	AGPAT4	1.6	2.88E-04
ENSG00000026751	SLAMF7	-2	0.001341649
ENSG00000026950	BTN3A1	0.3	0.346401338
ENSG00000027001	MIPEP	-0.8	0.022883338
ENSG00000027075	PRKCH	-0.4	0.33480443
ENSG00000027644	INSRR	1.5	0.318074464
ENSG00000027697	IFNGR1	-0.1	0.808711546
ENSG00000027847	B4GALT7	0.6	0.38423076
ENSG00000027869	SH2D2A	-2.4	0.100432669
ENSG00000028116	VRK2	-0.5	0.322991271
ENSG00000028137	TNFRSF1B	-2.2	0.008819318
ENSG00000028203	VEZT	-0.7	0.063700693
ENSG00000028277	POU2F2	-0.4	0.703498323
ENSG00000028310	BRD9	-0.6	0.131665303
ENSG00000028528	SNX1	0.2	0.55525986
ENSG00000028839	TBPL1	-1.6	8.27E-05
ENSG00000029153	ARNTL2	-0.6	0.216986668
ENSG00000029363	BCLAF1	-1.3	0.001320707
ENSG00000029364	SLC39A9	-0.3	0.513938004
ENSG00000029534	ANK1	-0.7	0.579402758
ENSG00000029639	TFB1M	-2.7	1.08E-22
ENSG00000029725	RABEP1	-0.8	0.036501034
ENSG00000029993	HMGB3	-2.4	1.75E-16
ENSG00000030066	NUP160	-1.7	1.56E-07
ENSG00000030110	BAK1	-1	0.080060414
ENSG00000030419	IKZF2	1.8	6.74E-06
ENSG00000030582	GRN	2.1	0.010929141
ENSG00000031003	FAM13B	-0.3	0.535566808
ENSG00000031081	ARHGAP31	1.1	2.60E-04
ENSG00000031691	CENPQ	-2.7	1.94E-07
ENSG00000031698	SARS	0.1	0.744103046
ENSG00000031823	RANBP3	-0.4	0.450409605
ENSG00000032219	ARID4A	0.6	0.145895502
ENSG00000032389	EIPR1	-0.6	0.297012562
ENSG00000032444	PNPLA6	1.2	0.184786192
ENSG00000032742	IFT88	0.5	0.286822086
ENSG00000033011	ALG1	-0.4	0.360773952
ENSG00000033030	ZCCHC8	-0.6	0.098440249
ENSG00000033050	ABCF2	-0.9	0.059525375
ENSG00000033100	CHPF2	1.1	0.013165059
ENSG00000033122	LRRC7	-0.6	0.361763051
ENSG00000033170	FUT8	-0.2	0.621882561
ENSG00000033178	UBA6	-2	1.20E-06
ENSG00000033327	GAB2	1.5	4.43E-04
ENSG00000033627	ATP6V0A1	-0.3	0.424871346
ENSG00000033800	PIAS1	-0.3	0.54074531
ENSG00000033867	SLC4A7	-1.5	3.25E-05
ENSG00000034053	APBA2	0.7	0.286164498
ENSG00000034152	MAP2K3	-0.7	0.3599036
ENSG00000034510	TMSB10	-1.5	0.002950649
ENSG00000034533	ASTE1	-1	0.012251632
ENSG00000034677	RNF19A	-0.2	0.591231151
ENSG00000034693	PEX3	-1.9	6.80E-06
ENSG00000034713	GABARAPL2	-0.1	0.79054854
ENSG00000035115	SH3YL1	1.5	3.68E-07
ENSG00000035141	FAM136A	-1.7	7.17E-07
ENSG00000035403	VCL	0.5	0.210113545
ENSG00000035499	DEPDC1B	-3.9	7.26E-24
ENSG00000035664	DAPK2	-0.9	0.378066728
ENSG00000035681	NSMAF	-0.2	0.569674892
ENSG00000035687	ADSS	-1.2	0.002384426
ENSG00000035862	TIMP2	1.4	4.31E-07
ENSG00000035928	RFC1	-1.1	8.78E-04
ENSG00000036054	TBC1D23	-0.3	0.633723642
ENSG00000036257	CUL3	-1.2	0.001636352
ENSG00000036448	MYOM2	2.5	0.002553705
ENSG00000036530	CYP46A1	4.2	3.31E-04
ENSG00000036549	AC118549.1	-0.2	0.659806569
ENSG00000036565	SLC18A1	-1.3	0.364594826
ENSG00000036672	USP2	2.3	1.15E-05
ENSG00000037042	TUBG2	1	0.028315509
ENSG00000037241	RPL26L1	-0.8	0.061553535
ENSG00000037474	NSUN2	-1.5	1.84E-08
ENSG00000037637	FBXO42	-0.2	0.531676167
ENSG00000037749	MFAP3	-0.4	0.311966538
ENSG00000037757	MRI1	0.4	0.543934742
ENSG00000037897	METTL1	-1.6	3.45E-04
ENSG00000037965	HOXC8	-0.9	0.025507814
ENSG00000038002	AGA	0.4	0.33227089
ENSG00000038210	PI4K2B	-1	0.036576049
ENSG00000038219	BOD1L1	-0.1	0.896372679
ENSG00000038274	MAT2B	-0.8	0.054595887
ENSG00000038295	TLL1	1.7	0.181833061
ENSG00000038358	EDC4	0.2	0.770067754
ENSG00000038382	TRIO	0.1	0.8892214
ENSG00000038427	VCAN	4.1	3.42E-44
ENSG00000038532	CLEC16A	0.3	0.479272055
ENSG00000039123	MTREX	-1.2	6.50E-04
ENSG00000039139	DNAH5	0.4	0.495026508
ENSG00000039319	ZFYVE16	0.1	0.917809818
ENSG00000039523	RIPOR1	0.5	0.507207803
ENSG00000039537	C6	3.4	9.32E-05
ENSG00000039560	RAI14	0.3	0.435627149
ENSG00000039600	SOX30	3.5	1.44E-06
ENSG00000039650	PNKP	0.9	0.194309898
ENSG00000040199	PHLPP2	-1.1	4.58E-04
ENSG00000040275	SPDL1	-2.6	3.43E-13
ENSG00000040341	STAU2	-0.1	0.884987192
ENSG00000040487	SLC66A1	0.4	0.57146394
ENSG00000040531	CTNS	1.4	0.00459896
ENSG00000040633	PHF23	0.8	0.047272824
ENSG00000040731	CDH10	4.4	7.90E-23
ENSG00000040933	INPP4A	-0.2	0.667343216
ENSG00000041353	RAB27B	-2.2	6.02E-06
ENSG00000041357	PSMA4	-1.9	2.11E-05
ENSG00000041515	MYO16	-0.1	0.847388613
ENSG00000041802	LSG1	-0.8	0.005213508
ENSG00000041880	PARP3	0.9	0.052392366
ENSG00000041982	TNC	0.7	0.223092156
ENSG00000041988	THAP3	1	0.13930439
ENSG00000042062	RIPOR3	1.1	0.406315909
ENSG00000042088	TDP1	-1	4.55E-04
ENSG00000042286	AIFM2	0.1	0.888813313
ENSG00000042317	SPATA7	2.1	1.65E-05
ENSG00000042429	MED17	-0.7	0.073935051
ENSG00000042445	RETSAT	0.9	0.025208938
ENSG00000042493	CAPG	0.7	0.318595017
ENSG00000042753	AP2S1	-0.5	0.272459116
ENSG00000042832	TG	3.9	5.14E-04
ENSG00000042980	ADAM28	2.6	0.043615921
ENSG00000043039	BARX2	2.5	1.27E-04
ENSG00000043093	DCUN1D1	-0.7	0.190570986
ENSG00000043143	JADE2	-0.7	0.09817675
ENSG00000043355	ZIC2	-2.6	1.60E-10
ENSG00000043462	LCP2	-0.7	0.264149121
ENSG00000043514	TRIT1	-0.8	0.032142831
ENSG00000043591	ADRB1	-0.8	0.54268201
ENSG00000044090	CUL7	2	0.001284247
ENSG00000044115	CTNNA1	0.4	0.157777921
ENSG00000044446	PHKA2	0.8	0.021717932
ENSG00000044459	CNTLN	-0.7	0.157512043
ENSG00000044524	EPHA3	0.7	0.041508885
ENSG00000044574	HSPA5	-0.8	0.004327696
ENSG00000046604	DSG2	-1.1	0.011214159
ENSG00000046647	GEMIN8	1.7	1.81E-09
ENSG00000046651	OFD1	0.3	0.467983901
ENSG00000046653	GPM6B	0.9	0.062399964
ENSG00000046774	MAGEC2	-0.5	0.101531725
ENSG00000046889	PREX2	-1	0.49121786
ENSG00000047056	WDR37	0.6	0.054736617
ENSG00000047230	CTPS2	0.1	0.863957768
ENSG00000047249	ATP6V1H	-0.2	0.587817257
ENSG00000047315	POLR2B	-0.9	0.022445905
ENSG00000047346	FAM214A	1.5	1.71E-04
ENSG00000047410	TPR	-0.3	0.360055573
ENSG00000047457	CP	4.7	1.78E-10
ENSG00000047578	KIAA0556	1.2	0.038932357
ENSG00000047579	DTNBP1	-0.2	0.661081629
ENSG00000047597	XK	-2.2	0.004574663
